group_id,group_title,action_id,action_name,role_id,role_name,raci
goals_performance,Goals & Performance,goals_performance__define_goal_setting_framework,Define goal-setting framework,delivery_manager,Delivery Manager,R
goals_performance,Goals & Performance,goals_performance__define_goal_setting_framework,Define goal-setting framework,delivery_manager,Delivery Manager,A
goals_performance,Goals & Performance,goals_performance__define_goal_setting_framework,Define goal-setting framework,senior_team_lead,Senior Team Lead,I
goals_performance,Goals & Performance,goals_performance__define_goal_setting_framework,Define goal-setting framework,team_lead,Team lead,C
goals_performance,Goals & Performance,goals_performance__set_team_level_goals,Set team-level goals,delivery_manager,Delivery Manager,C
goals_performance,Goals & Performance,goals_performance__set_team_level_goals,Set team-level goals,senior_team_lead,Senior Team Lead,I
goals_performance,Goals & Performance,goals_performance__set_team_level_goals,Set team-level goals,team_lead,Team lead,R
goals_performance,Goals & Performance,goals_performance__set_team_level_goals,Set team-level goals,team_lead,Team lead,A
goals_performance,Goals & Performance,goals_performance__track_goal_progress,Track goal progress,delivery_manager,Delivery Manager,C
goals_performance,Goals & Performance,goals_performance__track_goal_progress,Track goal progress,senior_team_lead,Senior Team Lead,I
goals_performance,Goals & Performance,goals_performance__track_goal_progress,Track goal progress,team_lead,Team lead,R
goals_performance,Goals & Performance,goals_performance__track_goal_progress,Track goal progress,team_lead,Team lead,A
goals_performance,Goals & Performance,goals_performance__align_team_goals_to_company_objectives,Align team goals to company objectives,delivery_manager,Delivery Manager,R
goals_performance,Goals & Performance,goals_performance__align_team_goals_to_company_objectives,Align team goals to company objectives,delivery_manager,Delivery Manager,A
goals_performance,Goals & Performance,goals_performance__align_team_goals_to_company_objectives,Align team goals to company objectives,senior_team_lead,Senior Team Lead,I
goals_performance,Goals & Performance,goals_performance__align_team_goals_to_company_objectives,Align team goals to company objectives,team_lead,Team lead,C
goals_performance,Goals & Performance,goals_performance__define_performance_review_framework,Define performance review framework,delivery_manager,Delivery Manager,R
goals_performance,Goals & Performance,goals_performance__define_performance_review_framework,Define performance review framework,senior_team_lead,Senior Team Lead,A
goals_performance,Goals & Performance,goals_performance__define_performance_review_framework,Define performance review framework,team_lead,Team lead,C
goals_performance,Goals & Performance,goals_performance__conduct_individual_performance_reviews,Conduct individual performance reviews,delivery_manager,Delivery Manager,C
goals_performance,Goals & Performance,goals_performance__conduct_individual_performance_reviews,Conduct individual performance reviews,senior_team_lead,Senior Team Lead,C
goals_performance,Goals & Performance,goals_performance__conduct_individual_performance_reviews,Conduct individual performance reviews,team_lead,Team lead,R
goals_performance,Goals & Performance,goals_performance__conduct_individual_performance_reviews,Conduct individual performance reviews,team_lead,Team lead,A
sdlc_process_management,SDLC & Process Management,sdlc_process_management__approve_major_process_changes,Approve major process changes,delivery_manager,Delivery Manager,R
sdlc_process_management,SDLC & Process Management,sdlc_process_management__approve_major_process_changes,Approve major process changes,product_owner,Product Owner,I
sdlc_process_management,SDLC & Process Management,sdlc_process_management__approve_major_process_changes,Approve major process changes,senior_team_lead,Senior Team Lead,A
sdlc_process_management,SDLC & Process Management,sdlc_process_management__approve_major_process_changes,Approve major process changes,team_lead,Team lead,C
sdlc_process_management,SDLC & Process Management,sdlc_process_management__approve_major_process_changes,Approve major process changes,tech_lead,Tech lead,C
sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_and_maintain_sdlc_framework,Define and maintain SDLC framework,delivery_manager,Delivery Manager,R
sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_and_maintain_sdlc_framework,Define and maintain SDLC framework,delivery_manager,Delivery Manager,A
sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_and_maintain_sdlc_framework,Define and maintain SDLC framework,product_owner,Product Owner,C
sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_and_maintain_sdlc_framework,Define and maintain SDLC framework,senior_team_lead,Senior Team Lead,I
sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_and_maintain_sdlc_framework,Define and maintain SDLC framework,team_lead,Team lead,C
sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_and_maintain_sdlc_framework,Define and maintain SDLC framework,tech_lead,Tech lead,C
sdlc_process_management,SDLC & Process Management,sdlc_process_management__establish_jira_confluence_structure,Establish Jira/Confluence structure,delivery_manager,Delivery Manager,R
sdlc_process_management,SDLC & Process Management,sdlc_process_management__establish_jira_confluence_structure,Establish Jira/Confluence structure,delivery_manager,Delivery Manager,A
sdlc_process_management,SDLC & Process Management,sdlc_process_management__establish_jira_confluence_structure,Establish Jira/Confluence structure,product_owner,Product Owner,C
sdlc_process_management,SDLC & Process Management,sdlc_process_management__establish_jira_confluence_structure,Establish Jira/Confluence structure,senior_team_lead,Senior Team Lead,I
sdlc_process_management,SDLC & Process Management,sdlc_process_management__establish_jira_confluence_structure,Establish Jira/Confluence structure,team_lead,Team lead,C
sdlc_process_management,SDLC & Process Management,sdlc_process_management__establish_jira_confluence_structure,Establish Jira/Confluence structure,tech_lead,Tech lead,I
sdlc_process_management,SDLC & Process Management,sdlc_process_management__implement_team_specific_processes,Implement team-specific processes,delivery_manager,Delivery Manager,C
sdlc_process_management,SDLC & Process Management,sdlc_process_management__implement_team_specific_processes,Implement team-specific processes,product_owner,Product Owner,I
sdlc_process_management,SDLC & Process Management,sdlc_process_management__implement_team_specific_processes,Implement team-specific processes,senior_team_lead,Senior Team Lead,I
sdlc_process_management,SDLC & Process Management,sdlc_process_management__implement_team_specific_processes,Implement team-specific processes,team_lead,Team lead,R
sdlc_process_management,SDLC & Process Management,sdlc_process_management__implement_team_specific_processes,Implement team-specific processes,team_lead,Team lead,A
sdlc_process_management,SDLC & Process Management,sdlc_process_management__implement_team_specific_processes,Implement team-specific processes,tech_lead,Tech lead,C
sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_delivery_metrics_kpis,Define delivery metrics/KPIs,delivery_manager,Delivery Manager,R
sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_delivery_metrics_kpis,Define delivery metrics/KPIs,delivery_manager,Delivery Manager,A
sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_delivery_metrics_kpis,Define delivery metrics/KPIs,product_owner,Product Owner,I
sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_delivery_metrics_kpis,Define delivery metrics/KPIs,senior_team_lead,Senior Team Lead,I
sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_delivery_metrics_kpis,Define delivery metrics/KPIs,team_lead,Team lead,C
sdlc_process_management,SDLC & Process Management,sdlc_process_management__define_delivery_metrics_kpis,Define delivery metrics/KPIs,tech_lead,Tech lead,C
sdlc_process_management,SDLC & Process Management,sdlc_process_management__monitor_and_report_delivery_metrics,Monitor and report delivery metrics,delivery_manager,Delivery Manager,R
sdlc_process_management,SDLC & Process Management,sdlc_process_management__monitor_and_report_delivery_metrics,Monitor and report delivery metrics,delivery_manager,Delivery Manager,A
sdlc_process_management,SDLC & Process Management,sdlc_process_management__monitor_and_report_delivery_metrics,Monitor and report delivery metrics,product_owner,Product Owner,I
sdlc_process_management,SDLC & Process Management,sdlc_process_management__monitor_and_report_delivery_metrics,Monitor and report delivery metrics,senior_team_lead,Senior Team Lead,I
sdlc_process_management,SDLC & Process Management,sdlc_process_management__monitor_and_report_delivery_metrics,Monitor and report delivery metrics,team_lead,Team lead,I
sdlc_process_management,SDLC & Process Management,sdlc_process_management__monitor_and_report_delivery_metrics,Monitor and report delivery metrics,tech_lead,Tech lead,I
sdlc_process_management,SDLC & Process Management,sdlc_process_management__drive_process_improvement_initiatives,Drive process improvement initiatives,delivery_manager,Delivery Manager,R
sdlc_process_management,SDLC & Process Management,sdlc_process_management__drive_process_improvement_initiatives,Drive process improvement initiatives,delivery_manager,Delivery Manager,A
sdlc_process_management,SDLC & Process Management,sdlc_process_management__drive_process_improvement_initiatives,Drive process improvement initiatives,product_owner,Product Owner,I
sdlc_process_management,SDLC & Process Management,sdlc_process_management__drive_process_improvement_initiatives,Drive process improvement initiatives,senior_team_lead,Senior Team Lead,I
sdlc_process_management,SDLC & Process Management,sdlc_process_management__drive_process_improvement_initiatives,Drive process improvement initiatives,team_lead,Team lead,C
sdlc_process_management,SDLC & Process Management,sdlc_process_management__drive_process_improvement_initiatives,Drive process improvement initiatives,tech_lead,Tech lead,C
discovery_stage,Discovery Stage,discovery_stage__define_discovery_framework,Define discovery framework,customer,Customer,I
discovery_stage,Discovery Stage,discovery_stage__define_discovery_framework,Define discovery framework,delivery_manager,Delivery Manager,R
discovery_stage,Discovery Stage,discovery_stage__define_discovery_framework,Define discovery framework,delivery_manager,Delivery Manager,A
